,0
traffic_volume_lag_1h,0.7128597779399758
hour_cos,0.22154342091314347
hour_sin,0.027183212284477978
rolling_3h_mean,0.011148622970246377
dow_sin,0.007650173216203583
is_weekend,0.004963496873756829
traffic_volume_lag_3h,0.0038438279869691585
traffic_volume_lag_24h,0.003618573773167518
temp_c,0.003000461999790022
month,0.0015556811685641988
dow_cos,0.0009692234280012302
clouds_all,0.0007974026276640341
weather_Clouds,0.00021731953094104398
weather_Clear,0.00018456778088354563
weather_Snow,0.0001228441555292681
rain_1h,0.00010946547905414341
weather_Mist,0.00010141465745010201
weather_Rain,9.177645765861062e-05
weather_Haze,1.9372288669314452e-05
weather_Thunderstorm,5.660180160329949e-06
is_holiday,5.065078466419654e-06
weather_Fog,4.1781243880923755e-06
weather_Drizzle,3.9780775667608315e-06
snow_1h,4.830072720666423e-07
weather_Smoke,0.0
weather_Squall,0.0
